revision	measurements
before	bytes=67108932 lines=565808 elapsed=171.447073ms throughput_mib_s=373.29 largest_read_return_bytes=67108932 vm_hwm_kib=226048
after	bytes=67108932 lines=565808 elapsed=148.522085ms throughput_mib_s=430.91 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=41964
after	bytes=67108932 lines=565808 elapsed=146.280092ms throughput_mib_s=437.52 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=42024
after	bytes=67108932 lines=565808 elapsed=144.987428ms throughput_mib_s=441.42 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=44268
concurrent	reader_enabled=true bytes=16777287 lines=142853 elapsed=34.820246ms writer_elapsed=9.323685ms throughput_mib_s=459.50 longest_append_flush=15.5µs read_calls=136 batches_submitted=67 largest_read_return_bytes=262200 vm_hwm_kib=25312
concurrent	reader_enabled=true bytes=16777287 lines=142853 elapsed=34.275914ms writer_elapsed=9.379018ms throughput_mib_s=466.80 longest_append_flush=13.208µs read_calls=124 batches_submitted=67 largest_read_return_bytes=262200 vm_hwm_kib=25084
concurrent	reader_enabled=true bytes=16777287 lines=142853 elapsed=35.410869ms writer_elapsed=9.9966ms throughput_mib_s=451.84 longest_append_flush=15.917µs read_calls=118 batches_submitted=68 largest_read_return_bytes=262200 vm_hwm_kib=24816
concurrent	reader_enabled=false bytes=16777287 lines=142853 elapsed=10.072099ms writer_elapsed=9.927184ms throughput_mib_s=1588.55 longest_append_flush=112.875µs read_calls=0 batches_submitted=0 largest_read_return_bytes=0 vm_hwm_kib=30284
concurrent	reader_enabled=false bytes=16777287 lines=142853 elapsed=10.003975ms writer_elapsed=9.882184ms throughput_mib_s=1599.37 longest_append_flush=245.832µs read_calls=0 batches_submitted=0 largest_read_return_bytes=0 vm_hwm_kib=30284
concurrent	reader_enabled=false bytes=16777287 lines=142853 elapsed=10.188225ms writer_elapsed=10.063058ms throughput_mib_s=1570.45 longest_append_flush=264.124µs read_calls=0 batches_submitted=0 largest_read_return_bytes=0 vm_hwm_kib=30260
after_review_confirmation	bytes=67108932 lines=565808 elapsed=143.031683ms throughput_mib_s=447.45 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=42224
callback_before_review	sample=1 notifications=5000000 elapsed=25.28927ms ns_per_notification=5.06
callback_before_review	sample=2 notifications=5000000 elapsed=24.68248ms ns_per_notification=4.94
callback_before_review	sample=3 notifications=5000000 elapsed=24.83398ms ns_per_notification=4.97
callback_after_review	sample=1 notifications=5000000 elapsed=13.608716ms ns_per_notification=2.72
callback_after_review	sample=2 notifications=5000000 elapsed=13.471008ms ns_per_notification=2.69
callback_after_review	sample=3 notifications=5000000 elapsed=13.283675ms ns_per_notification=2.66
critical_review_file	bytes=67108932 lines=565808 elapsed=147.315799ms throughput_mib_s=434.44 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=44168
critical_review_file	bytes=67108932 lines=565808 elapsed=143.855349ms throughput_mib_s=444.89 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=42348
critical_review_file	bytes=67108932 lines=565808 elapsed=145.40472ms throughput_mib_s=440.15 read_calls=258 batches_submitted=257 largest_read_return_bytes=262202 vm_hwm_kib=42204
critical_review_writer_on	reader_enabled=true bytes=16777287 lines=142853 elapsed=33.475333ms writer_elapsed=10.190849ms throughput_mib_s=477.97 longest_append_flush=20.042µs read_calls=128 batches_submitted=67 largest_read_return_bytes=262200 vm_hwm_kib=24168
critical_review_writer_on	reader_enabled=true bytes=16777287 lines=142853 elapsed=32.711168ms writer_elapsed=10.308307ms throughput_mib_s=489.13 longest_append_flush=14.583µs read_calls=118 batches_submitted=68 largest_read_return_bytes=262200 vm_hwm_kib=24692
critical_review_writer_on	reader_enabled=true bytes=16777287 lines=142853 elapsed=34.749789ms writer_elapsed=11.418346ms throughput_mib_s=460.44 longest_append_flush=278.583µs read_calls=119 batches_submitted=68 largest_read_return_bytes=262237 vm_hwm_kib=24700
critical_review_writer_off	reader_enabled=false bytes=16777287 lines=142853 elapsed=10.150641ms writer_elapsed=10.022516ms throughput_mib_s=1576.26 longest_append_flush=26.375µs read_calls=0 batches_submitted=0 largest_read_return_bytes=0 vm_hwm_kib=30580
critical_review_writer_off	reader_enabled=false bytes=16777287 lines=142853 elapsed=10.701974ms writer_elapsed=10.595015ms throughput_mib_s=1495.06 longest_append_flush=17.791µs read_calls=0 batches_submitted=0 largest_read_return_bytes=0 vm_hwm_kib=30544
critical_review_writer_off	reader_enabled=false bytes=16777287 lines=142853 elapsed=10.010267ms writer_elapsed=9.899642ms throughput_mib_s=1598.37 longest_append_flush=21.583µs read_calls=0 batches_submitted=0 largest_read_return_bytes=0 vm_hwm_kib=30584
